,sum,month,district
66,285856.25,2020-01-01,Angeles District
72,430500.0,2020-01-01,Bay Area District
0,249206.25,2020-01-01,Capital District
6,2510112.5,2020-01-01,Central Valley District
78,516718.75,2020-01-01,Channel Coast District
12,260475.0,2020-01-01,Colorado Desert District
18,756731.25,2020-01-01,Diablo Range District
24,377550.0,2020-01-01,Gold Fields District
48,1369812.5,2020-01-01,Great Basin District
60,287518.75,2020-01-01,Inland Empire District
84,354725.0,2020-01-01,Monterey District
90,2172475.0,2020-01-01,North Coast Redwoods District
30,4581219.0,2020-01-01,Northern Buttes District
96,152212.5,2020-01-01,Oceano Dunes District
36,186093.75,2020-01-01,Ocotillo Wells District
102,113562.5,2020-01-01,Orange Coast District
108,142693.75,2020-01-01,San Diego Coast District
114,290750.0,2020-01-01,San Luis Obispo Coast District
120,251193.75,2020-01-01,Santa Cruz District
42,1610243.75,2020-01-01,Sierra District
54,765218.75,2020-01-01,Sonoma-Mendocino Coast District
67,79743.75,2021-01-01,Angeles District
73,262050.0,2021-01-01,Bay Area District
1,193912.5,2021-01-01,Capital District
7,2121868.75,2021-01-01,Central Valley District
79,305368.75,2021-01-01,Channel Coast District
13,171931.25,2021-01-01,Colorado Desert District
19,517668.75,2021-01-01,Diablo Range District
25,334662.5,2021-01-01,Gold Fields District
49,978387.5,2021-01-01,Great Basin District
61,181393.75,2021-01-01,Inland Empire District
85,276606.25,2021-01-01,Monterey District
91,2008437.5,2021-01-01,North Coast Redwoods District
31,3882637.5,2021-01-01,Northern Buttes District
97,95918.75,2021-01-01,Oceano Dunes District
37,184718.75,2021-01-01,Ocotillo Wells District
103,51943.75,2021-01-01,Orange Coast District
109,41937.5,2021-01-01,San Diego Coast District
115,212556.25,2021-01-01,San Luis Obispo Coast District
121,233081.25,2021-01-01,Santa Cruz District
43,1502012.5,2021-01-01,Sierra District
55,709231.25,2021-01-01,Sonoma-Mendocino Coast District
68,166131.25,2022-01-01,Angeles District
74,387768.75,2022-01-01,Bay Area District
2,196512.5,2022-01-01,Capital District
8,2164637.5,2022-01-01,Central Valley District
80,320318.75,2022-01-01,Channel Coast District
14,172781.25,2022-01-01,Colorado Desert District
20,565118.75,2022-01-01,Diablo Range District
26,365737.5,2022-01-01,Gold Fields District
50,1001756.25,2022-01-01,Great Basin District
62,202962.5,2022-01-01,Inland Empire District
86,277106.25,2022-01-01,Monterey District
92,2105075.0,2022-01-01,North Coast Redwoods District
32,3949662.5,2022-01-01,Northern Buttes District
98,86893.75,2022-01-01,Oceano Dunes District
38,175156.25,2022-01-01,Ocotillo Wells District
104,52087.5,2022-01-01,Orange Coast District
110,33493.75,2022-01-01,San Diego Coast District
116,171787.5,2022-01-01,San Luis Obispo Coast District
122,241862.5,2022-01-01,Santa Cruz District
44,1351937.5,2022-01-01,Sierra District
56,752131.25,2022-01-01,Sonoma-Mendocino Coast District
69,302043.75,2023-01-01,Angeles District
75,453931.25,2023-01-01,Bay Area District
3,293218.75,2023-01-01,Capital District
9,2536581.25,2023-01-01,Central Valley District
81,610700.0,2023-01-01,Channel Coast District
15,276943.75,2023-01-01,Colorado Desert District
21,987918.75,2023-01-01,Diablo Range District
27,381412.5,2023-01-01,Gold Fields District
51,1279512.5,2023-01-01,Great Basin District
63,290318.75,2023-01-01,Inland Empire District
87,419725.0,2023-01-01,Monterey District
93,2125918.75,2023-01-01,North Coast Redwoods District
33,4585606.0,2023-01-01,Northern Buttes District
99,200631.25,2023-01-01,Oceano Dunes District
39,181043.75,2023-01-01,Ocotillo Wells District
105,121437.5,2023-01-01,Orange Coast District
111,133587.5,2023-01-01,San Diego Coast District
117,521325.0,2023-01-01,San Luis Obispo Coast District
123,250387.5,2023-01-01,Santa Cruz District
45,1471031.25,2023-01-01,Sierra District
57,760081.25,2023-01-01,Sonoma-Mendocino Coast District
70,341000.0,2024-01-01,Angeles District
76,469537.5,2024-01-01,Bay Area District
4,282950.0,2024-01-01,Capital District
10,2860493.75,2024-01-01,Central Valley District
82,652775.0,2024-01-01,Channel Coast District
16,281362.5,2024-01-01,Colorado Desert District
22,986543.75,2024-01-01,Diablo Range District
28,415750.0,2024-01-01,Gold Fields District
52,1433656.25,2024-01-01,Great Basin District
64,306750.0,2024-01-01,Inland Empire District
88,395893.75,2024-01-01,Monterey District
94,2143093.75,2024-01-01,North Coast Redwoods District
34,4809651.0,2024-01-01,Northern Buttes District
100,212650.0,2024-01-01,Oceano Dunes District
40,165725.0,2024-01-01,Ocotillo Wells District
106,126143.75,2024-01-01,Orange Coast District
112,150631.25,2024-01-01,San Diego Coast District
118,535406.25,2024-01-01,San Luis Obispo Coast District
124,255568.75,2024-01-01,Santa Cruz District
46,1572412.5,2024-01-01,Sierra District
58,765556.25,2024-01-01,Sonoma-Mendocino Coast District
71,279900.0,2025-01-01,Angeles District
77,464193.75,2025-01-01,Bay Area District
5,208793.75,2025-01-01,Capital District
11,2190662.5,2025-01-01,Central Valley District
83,525400.0,2025-01-01,Channel Coast District
17,261443.75,2025-01-01,Colorado Desert District
23,747218.75,2025-01-01,Diablo Range District
29,391543.75,2025-01-01,Gold Fields District
53,1046881.25,2025-01-01,Great Basin District
65,250462.5,2025-01-01,Inland Empire District
89,332443.75,2025-01-01,Monterey District
95,2079293.75,2025-01-01,North Coast Redwoods District
35,4061643.75,2025-01-01,Northern Buttes District
101,154556.25,2025-01-01,Oceano Dunes District
41,153825.0,2025-01-01,Ocotillo Wells District
107,109093.75,2025-01-01,Orange Coast District
113,112775.0,2025-01-01,San Diego Coast District
119,267875.0,2025-01-01,San Luis Obispo Coast District
125,244643.75,2025-01-01,Santa Cruz District
47,1300143.75,2025-01-01,Sierra District
59,758493.75,2025-01-01,Sonoma-Mendocino Coast District
