,min,max,mean,std,month,district
2916,-0.18799999356269836,0.9900000095367432,0.41078831618259376,0.1478816383834097,2019-12-19,Angeles District
3163,-0.1981000006198883,0.9962999820709229,0.5904384716170489,0.15458618189901047,2019-12-19,Bay Area District
199,-0.20000000298023224,0.9038000106811523,0.39828400930400615,0.1523674340727518,2019-12-19,Capital District
446,-0.20000000298023224,0.9977999925613403,0.4225636783888815,0.20831962281730435,2019-12-19,Central Valley District
3410,-0.19110000133514404,0.9897000193595886,0.5257288235444412,0.12149930334681928,2019-12-19,Channel Coast District
693,-0.20000000298023224,0.9936000108718872,0.3415553304877595,0.1915252511796774,2019-12-19,Colorado Desert District
940,-0.1995999962091446,0.965399980545044,0.5093476471756033,0.14039399911669959,2019-12-19,Diablo Range District
1187,-0.19939999282360077,0.992900013923645,0.587207286590801,0.17229057606324505,2019-12-19,Gold Fields District
2175,-0.20000000298023224,0.9937999844551086,0.2819196328217025,0.190430697331586,2019-12-19,Great Basin District
2669,-0.20000000298023224,0.9901000261306763,0.17800738266098223,0.12970819581520637,2019-12-19,Inland Empire District
3657,-0.19290000200271606,0.9966999888420105,0.5864880594302616,0.14816198291901736,2019-12-19,Monterey District
3904,-0.19290000200271606,0.9993000030517578,0.7535435646443109,0.19197580634979525,2019-12-19,North Coast Redwoods District
1434,-0.20000000298023224,0.9991999864578247,0.4665592294775056,0.22471755629657408,2019-12-19,Northern Buttes District
4151,-0.17389999330043793,0.9089000225067139,0.5167114714235934,0.10595617440736783,2019-12-19,Oceano Dunes District
1681,-0.20000000298023224,0.9348999857902527,0.1648057468208892,0.14766363149164916,2019-12-19,Ocotillo Wells District
4398,-0.15690000355243683,0.8393999934196472,0.4562399676269516,0.13455119612849267,2019-12-19,Orange Coast District
4645,-0.1987999975681305,0.8463000059127808,0.45176280340286706,0.11898609205502872,2019-12-19,San Diego Coast District
4892,-0.20000000298023224,0.9979000091552734,0.5056795181017797,0.10985659139562343,2019-12-19,San Luis Obispo Coast District
5139,-0.19589999318122864,0.9932000041007996,0.6834205939028417,0.21259021317383434,2019-12-19,Santa Cruz District
1928,-0.20000000298023224,0.9988999962806702,0.27446873018790297,0.24012315794038414,2019-12-19,Sierra District
2422,-0.19539999961853027,0.9990000128746033,0.7692156845430325,0.1602722307932114,2019-12-19,Sonoma-Mendocino Coast District
2757,-0.20000000298023224,0.9580000042915344,0.40531907744344353,0.14727624307299256,2019-12-27,Angeles District
3004,-0.20000000298023224,0.9890000224113464,0.575512320424328,0.14468135730976775,2019-12-27,Bay Area District
40,-0.20000000298023224,0.8813999891281128,0.38422294288991515,0.153222716982773,2019-12-27,Capital District
287,-0.20000000298023224,0.9957000017166138,0.41188443136640623,0.19510881838105518,2019-12-27,Central Valley District
3251,-0.1988999992609024,0.9546999931335449,0.510995563270092,0.11906943346188473,2019-12-27,Channel Coast District
534,-0.20000000298023224,0.9764000177383423,0.33250125652032164,0.18557247168897406,2019-12-27,Colorado Desert District
781,-0.20000000298023224,0.929099977016449,0.4810111315448071,0.13594503961633847,2019-12-27,Diablo Range District
1028,-0.20000000298023224,0.9954000115394592,0.5400655596875111,0.15567535141953057,2019-12-27,Gold Fields District
2016,-0.19979999959468842,0.9968000054359436,0.2743560314023178,0.19162293337483766,2019-12-27,Great Basin District
2510,-0.20000000298023224,0.9975000023841858,0.1750385737664611,0.12491649332875987,2019-12-27,Inland Empire District
3498,-0.18060000240802765,0.9758999943733215,0.539165258956459,0.13634471997980935,2019-12-27,Monterey District
3745,-0.1882999986410141,0.9987000226974487,0.7147397356540504,0.17069366045018727,2019-12-27,North Coast Redwoods District
1275,-0.20000000298023224,0.9987000226974487,0.46643923634102513,0.21328827142121584,2019-12-27,Northern Buttes District
3992,-0.1363999992609024,0.8773000240325928,0.5068925495069957,0.10599518240974491,2019-12-27,Oceano Dunes District
1522,-0.20000000298023224,0.9070000052452087,0.16550577964269342,0.14277427775617962,2019-12-27,Ocotillo Wells District
4239,-0.18490000069141388,0.8011999726295471,0.45416375655162183,0.1330816027452984,2019-12-27,Orange Coast District
4486,-0.19840000569820404,0.8586999773979187,0.44580239804700506,0.11711953506612735,2019-12-27,San Diego Coast District
4733,-0.1973000019788742,0.8901000022888184,0.4935522092499437,0.10216343210959204,2019-12-27,San Luis Obispo Coast District
4980,-0.19689999520778656,0.9973999857902527,0.6425928832242904,0.1936540918747495,2019-12-27,Santa Cruz District
1769,-0.20000000298023224,0.9988999962806702,0.29766656386776896,0.24330426880582762,2019-12-27,Sierra District
2263,-0.1907999962568283,0.9993000030517578,0.7357751611991857,0.15084194323984204,2019-12-27,Sonoma-Mendocino Coast District
2743,-0.20000000298023224,0.993399977684021,0.41733074743802356,0.15161614500409457,2020-01-01,Angeles District
2990,-0.20000000298023224,0.9930999875068665,0.5982210450748346,0.14911505580824844,2020-01-01,Bay Area District
26,-0.20000000298023224,0.9071999788284302,0.42296757011233,0.1600844549301517,2020-01-01,Capital District
273,-0.20000000298023224,0.9976999759674072,0.44341173146927954,0.21326846084045825,2020-01-01,Central Valley District
3237,-0.20000000298023224,0.9876000285148621,0.5425379781984745,0.1229631672162191,2020-01-01,Channel Coast District
520,-0.1979999989271164,0.9936000108718872,0.3533680222756768,0.19737560500379311,2020-01-01,Colorado Desert District
767,-0.20000000298023224,0.9937999844551086,0.5260294214815721,0.14459053861934118,2020-01-01,Diablo Range District
1014,-0.19429999589920044,0.9937999844551086,0.5850610403475843,0.16920961766531653,2020-01-01,Gold Fields District
2002,-0.20000000298023224,0.9969000220298767,0.287994810991927,0.20233386986905902,2020-01-01,Great Basin District
2496,-0.20000000298023224,0.9957000017166138,0.18042460578186598,0.13630514704310337,2020-01-01,Inland Empire District
3484,-0.18619999289512634,0.9958999752998352,0.585658180804973,0.14886256879636273,2020-01-01,Monterey District
3731,-0.20000000298023224,0.9993000030517578,0.7165389276942628,0.21873977360444008,2020-01-01,North Coast Redwoods District
1261,-0.20000000298023224,0.9993000030517578,0.4668284331309384,0.23042185417522937,2020-01-01,Northern Buttes District
3978,-0.19329999387264252,0.9908999800682068,0.5393558267812183,0.11401310857140638,2020-01-01,Oceano Dunes District
1508,-0.20000000298023224,0.9803000092506409,0.1652921116837386,0.14378536307193443,2020-01-01,Ocotillo Wells District
4225,-0.1454000025987625,0.9266999959945679,0.4791732927643735,0.15014740140705765,2020-01-01,Orange Coast District
4472,-0.19869999587535858,0.8463000059127808,0.4707770817768305,0.12446390648823957,2020-01-01,San Diego Coast District
4719,-0.20000000298023224,0.9800999760627747,0.5188726517749472,0.10704547308450728,2020-01-01,San Luis Obispo Coast District
4966,-0.19930000603199005,0.9973000288009644,0.6748209018493532,0.20607371918761413,2020-01-01,Santa Cruz District
1755,-0.20000000298023224,0.9988999962806702,0.30147739225758485,0.2524163914722626,2020-01-01,Sierra District
