,month,district,sum
0,2020-01-01,Angeles District,4040032.25
1,2021-01-01,Angeles District,4042280.25
2,2022-01-01,Angeles District,4044528.25
3,2023-01-01,Angeles District,4046776.25
4,2024-01-01,Angeles District,4049024.25
5,2025-01-01,Angeles District,4051272.25
6,2020-01-01,Bay Area District,534163.375
7,2021-01-01,Bay Area District,535709.0125
8,2022-01-01,Bay Area District,537254.65
9,2023-01-01,Bay Area District,538800.2875
10,2024-01-01,Bay Area District,540345.925
11,2025-01-01,Bay Area District,541891.5625
12,2020-01-01,Capital District,453274.8125
13,2021-01-01,Capital District,457039.41875
14,2022-01-01,Capital District,460804.025
15,2023-01-01,Capital District,464568.63125
16,2024-01-01,Capital District,468333.2375
17,2025-01-01,Capital District,472097.84375
18,2020-01-01,Central Valley District,1068349.5
19,2021-01-01,Central Valley District,1078686.975
20,2022-01-01,Central Valley District,1089024.45
21,2023-01-01,Central Valley District,1099361.925
22,2024-01-01,Central Valley District,1109699.4
23,2025-01-01,Central Valley District,1120036.875
24,2020-01-01,Channel Coast District,323001.375
25,2021-01-01,Channel Coast District,325478.76875
26,2022-01-01,Channel Coast District,327956.1625
27,2023-01-01,Channel Coast District,330433.55625
28,2024-01-01,Channel Coast District,332910.95
29,2025-01-01,Channel Coast District,335388.34375
30,2020-01-01,Colorado Desert District,129777.765625
31,2021-01-01,Colorado Desert District,129612.6625
32,2022-01-01,Colorado Desert District,129447.559375
33,2023-01-01,Colorado Desert District,129282.45625
34,2024-01-01,Colorado Desert District,129117.353125
35,2025-01-01,Colorado Desert District,128952.25
36,2020-01-01,Diablo Range District,2388866.0
37,2021-01-01,Diablo Range District,2398032.4
38,2022-01-01,Diablo Range District,2407198.8
39,2023-01-01,Diablo Range District,2416365.2
40,2024-01-01,Diablo Range District,2425531.6
41,2025-01-01,Diablo Range District,2434698.0
42,2020-01-01,Gold Fields District,503191.28125
43,2021-01-01,Gold Fields District,507628.8
44,2022-01-01,Gold Fields District,512066.31875
45,2023-01-01,Gold Fields District,516503.8375
46,2024-01-01,Gold Fields District,520941.35625
47,2025-01-01,Gold Fields District,525378.875
48,2020-01-01,Great Basin District,823226.8125
49,2021-01-01,Great Basin District,822720.9375
50,2022-01-01,Great Basin District,822215.0625
51,2023-01-01,Great Basin District,821709.1875
52,2024-01-01,Great Basin District,821203.3125
53,2025-01-01,Great Basin District,820697.4375
54,2020-01-01,Inland Empire District,2284220.25
55,2021-01-01,Inland Empire District,2291276.65
56,2022-01-01,Inland Empire District,2298333.05
57,2023-01-01,Inland Empire District,2305389.45
