,min,max,mean,std,month,district
2768,37.13001251220703,209.75,68.20110492577598,9.123904162433766,2020-01-01,Angeles District
3016,42.602027893066406,79.96998596191406,59.50793704710145,3.078124261359734,2020-01-01,Bay Area District
40,45.98598098754883,67.51402282714844,61.37170130605916,2.3536422691024654,2020-01-01,Capital District
288,13.118017196655273,213.88998413085938,55.99409962618063,12.08707990072839,2020-01-01,Central Valley District
3264,42.9260139465332,125.22201538085938,64.62546810635376,4.4061442292197865,2020-01-01,Channel Coast District
536,37.9579963684082,115.10602569580078,69.42050292050293,7.188619664436676,2020-01-01,Colorado Desert District
784,36.4100227355957,80.47398376464844,61.301648955945225,3.196971407739136,2020-01-01,Diablo Range District
1032,42.9260139465332,71.6180191040039,58.057348053181386,3.8376501493971933,2020-01-01,Gold Fields District
2024,15.24200439453125,175.8380126953125,60.22455492710447,9.30509048476521,2020-01-01,Great Basin District
2520,26.618017196655273,103.04600524902344,68.222592203139,7.28650111045033,2020-01-01,Inland Empire District
3512,41.9899787902832,72.41001892089844,60.4663528418124,3.367972374751051,2020-01-01,Monterey District
3760,12.973987579345703,73.27398681640625,47.01546456156293,5.008879451946358,2020-01-01,North Coast Redwoods District
1280,-0.4900054931640625,212.73800659179688,48.58685924946179,9.426660489961451,2020-01-01,Northern Buttes District
4008,48.722015380859375,76.15399932861328,62.322582068478646,3.070463961986418,2020-01-01,Oceano Dunes District
1528,51.96199417114258,145.27398681640625,75.61135106334739,6.653293887212578,2020-01-01,Ocotillo Wells District
4256,60.09797286987305,93.75799560546875,70.66332116788321,3.730217306613389,2020-01-01,Orange Coast District
4504,58.54999923706055,82.74200439453125,72.57661991926503,3.3587059965326147,2020-01-01,San Diego Coast District
4752,51.06199264526367,71.94200134277344,61.50953986810551,2.775633086695955,2020-01-01,San Luis Obispo Coast District
5000,45.01401901245117,68.59397888183594,59.03053542673108,3.4554289870154236,2020-01-01,Santa Cruz District
1776,11.714019775390625,91.3819808959961,44.72709135197696,11.077845116957027,2020-01-01,Sierra District
2272,37.2020263671875,65.42601013183594,54.674095720864784,3.849977214457328,2020-01-01,Sonoma-Mendocino Coast District
2881,40.118019104003906,90.30197143554688,65.89655710334593,5.047921588221513,2020-01-09,Angeles District
3129,41.269989013671875,65.21002197265625,55.75370955280858,3.343461631753567,2020-01-09,Bay Area District
153,43.285980224609375,69.1340103149414,60.30050256502028,2.8430892061652955,2020-01-09,Capital District
401,3.434009552001953,104.12601470947266,52.402737815944405,12.260592712214867,2020-01-09,Central Valley District
3377,41.77398681640625,103.94599914550781,63.29211380084851,4.532608706481411,2020-01-09,Channel Coast District
649,41.91801834106445,120.54200744628906,69.07746757746757,7.904021490174079,2020-01-09,Colorado Desert District
897,37.59797286987305,200.5699920654297,58.63171934299757,5.5011404264243815,2020-01-09,Diablo Range District
1145,34.46599197387695,65.96598815917969,50.14932429177105,6.6569550039588945,2020-01-09,Gold Fields District
2137,10.165990829467773,116.25799560546875,61.424214962815924,9.794881024382633,2020-01-09,Great Basin District
2633,26.438007354736328,149.26998901367188,68.47848729679743,7.208355884195553,2020-01-09,Inland Empire District
3625,45.157997131347656,157.4779815673828,57.33435141040922,5.5501638532760085,2020-01-09,Monterey District
3873,-16.72598648071289,59.05399703979492,39.78589859801789,9.510799245666213,2020-01-09,North Coast Redwoods District
1393,-17.230010986328125,64.81401824951172,40.30141556315589,12.210002726030085,2020-01-09,Northern Buttes District
4121,50.91801834106445,73.56199645996094,62.86446195268361,4.074188953026835,2020-01-09,Oceano Dunes District
1641,55.13001251220703,152.36599731445312,76.50333408936267,6.500458404399883,2020-01-09,Ocotillo Wells District
