,month,district,mean
0,2020-01-01,Bay Area District,131.875
1,2020-01-01,Central Valley District,663.1974166666666
2,2020-01-01,Great Basin District,780.7875
3,2020-01-01,Northern Buttes District,648.5025833333333
4,2020-01-01,Ocotillo Wells District,-72.412
5,2020-01-01,Sierra District,1581.9006377597111
6,2020-02-01,Bay Area District,131.807
7,2020-02-01,Central Valley District,657.5651666666666
8,2020-02-01,Great Basin District,780.925
9,2020-02-01,Northern Buttes District,649.260375
10,2020-02-01,Ocotillo Wells District,-72.42949999999999
11,2020-02-01,Sierra District,1582.2663333333335
12,2020-03-01,Bay Area District,131.748
13,2020-03-01,Central Valley District,663.706
14,2020-03-01,Great Basin District,781.182
15,2020-03-01,Northern Buttes District,649.23
16,2020-03-01,Ocotillo Wells District,-72.2722
17,2020-03-01,Sierra District,1582.4952962962964
18,2020-04-01,Bay Area District,131.621
19,2020-04-01,Central Valley District,657.0215
20,2020-04-01,Great Basin District,781.784
21,2020-04-01,Northern Buttes District,648.93475
22,2020-04-01,Ocotillo Wells District,-72.2862
23,2020-04-01,Sierra District,1583.2432106860958
24,2020-05-01,Bay Area District,131.365
25,2020-05-01,Central Valley District,664.6772500000001
26,2020-05-01,Great Basin District,783.097
27,2020-05-01,Northern Buttes District,648.7106249999999
28,2020-05-01,Ocotillo Wells District,-72.1945
29,2020-05-01,Sierra District,1584.336465391621
30,2020-06-01,Bay Area District,130.47899999999998
31,2020-06-01,Central Valley District,666.4795
32,2020-06-01,Great Basin District,783.158
33,2020-06-01,Northern Buttes District,648.373625
34,2020-06-01,Ocotillo Wells District,-72.3256
35,2020-06-01,Sierra District,1584.1679444444444
36,2020-07-01,Bay Area District,129.248
37,2020-07-01,Central Valley District,651.0828333333334
38,2020-07-01,Great Basin District,781.431
39,2020-07-01,Northern Buttes District,647.34875
40,2020-07-01,Ocotillo Wells District,-72.345
41,2020-07-01,Sierra District,1583.3866690953248
42,2020-08-01,Bay Area District,128.599
43,2020-08-01,Central Valley District,645.8819166666667
44,2020-08-01,Great Basin District,778.847
45,2020-08-01,Northern Buttes District,646.1727083333334
46,2020-08-01,Ocotillo Wells District,-72.5435
47,2020-08-01,Sierra District,1582.4316851851852
48,2020-09-01,Bay Area District,128.199
49,2020-09-01,Central Valley District,654.0921666666667
50,2020-09-01,Great Basin District,776.866
51,2020-09-01,Northern Buttes District,643.3653750000001
52,2020-09-01,Ocotillo Wells District,-72.4925
53,2020-09-01,Sierra District,1581.240143304031
54,2020-10-01,Bay Area District,127.846
55,2020-10-01,Central Valley District,652.2610164835165
56,2020-10-01,Great Basin District,776.432
57,2020-10-01,Northern Buttes District,644.541625
58,2020-10-01,Ocotillo Wells District,-72.55833333333334
59,2020-10-01,Sierra District,1580.5903913043478
60,2020-11-01,Bay Area District,127.509
